atco_code,name,announcement_name,severity,flags,line2_shows,line3_shows,line2_over_px,line3_over_px,suggested_value,suggestion_kind,your_value
,Spalding High School,"Spalding, High School",warn,comma-space,Spalding,High School,0,0,"Spalding,High School",tidy,
270000008804,"St Thomas Church, London Road, Wyberton","St Thomas Church, London Road, Wyberton",warn,unreviewed-copy multiple-commas comma-space town-scrolls stop-scrolls,St Thomas Church,"London Road, Wyberton",476.963623046875,1038.275634765625,"Wyberton,St Thomas Church, London Road",reorder,
270000009199,"Station Cottages, Langrick","Station Cottages, Langrick",warn,unreviewed-copy comma-space town-scrolls,Station Cottages,Langrick,280.661376953125,0,"Langrick,Station Cottages",reorder,
,"Stickney, William Lovell Academy","Stickney, William Lovell Academy",warn,unreviewed-copy comma-space stop-scrolls,Stickney,William Lovell Academy,0,995.16015625,"William Lovell Academy,Stickney",reorder,
,"Swimming Pool, Boston","Swimming Pool, Boston",warn,unreviewed-copy comma-space town-scrolls,Swimming Pool,Boston,176.77880859375,0,"Boston,Swimming Pool",reorder,
,"Swimming Pool, Boston","Swimming Pool, Boston",warn,unreviewed-copy comma-space town-scrolls,Swimming Pool,Boston,176.77880859375,0,"Boston,Swimming Pool",reorder,
270002700455,Swineshead Primary School,"Swineshead, Primary School",warn,comma-space stop-scrolls,Swineshead,Primary School,0,154.15576171875,"Swineshead,Primary School",tidy,
270000008868,"Swineshead, adj Bentley's Garage","Swineshead,Bentley's Garage",warn,stop-scrolls,Swineshead,Bentley's Garage,0,319.211669921875,,,
270000008869,"Swineshead, opp Bentley's Garage","Swineshead,Bentley's Garage",warn,stop-scrolls,Swineshead,Bentley's Garage,0,319.211669921875,,,
270000010587,Blackjack Crossroads (S-bound),"Swineshead,Blackjack X Rds",warn,abbreviation stop-scrolls,Swineshead,Blackjack X Rds,0,235.314208984375,,,
2700LSF00652,"Swineshead, adj Fenhouses Lane","Swineshead,Fenhouses Lane",warn,stop-scrolls,Swineshead,Fenhouses Lane,0,269.4007568359375,,,
270000010586,"Swineshead, opp Fenhouses Lane","Swineshead,Fenhouses Lane",warn,stop-scrolls,Swineshead,Fenhouses Lane,0,269.4007568359375,,,
270000008861,"Swineshead, adj King John's Road","Swineshead,King John's Road",warn,stop-scrolls,Swineshead,King John's Road,0,387.689208984375,,,
270000008862,"Swineshead, opp King John's Road","Swineshead,King John's Road",warn,stop-scrolls,Swineshead,King John's Road,0,387.689208984375,,,
2700LSC00137,"Swineshead, adj St Mary's Church","Swineshead,St Mary's Church",warn,stop-scrolls,Swineshead,St Mary's Church,0,330.37109375,,,
270000008863,"Swineshead, opp St Mary's Church","Swineshead,St Mary's Church",warn,stop-scrolls,Swineshead,St Mary's Church,0,330.37109375,,,
270000009409,"The Coach House PH, Keal Cotes","The Coach House PH, Keal Cotes",warn,unreviewed-copy comma-space abbreviation town-scrolls,The Coach House PH,Keal Cotes,731.091064453125,0,"Keal Cotes,The Coach House PH",reorder,
,"The Giles Academy, Old Leake","The Giles Academy, Old Leake",warn,unreviewed-copy comma-space town-scrolls,The Giles Academy,Old Leake,546.8612060546875,0,"Old Leake,The Giles Academy",reorder,
270000008775,"The Orchards, Fen Drove, Hubberts Bridge","The Orchards, Fen Drove, Hubberts Bridge",warn,unreviewed-copy multiple-commas comma-space stop-scrolls,The Orchards,"Fen Drove, Hubberts Bridge",0,1389.0830078125,"Hubberts Bridge,The Orchards, Fen Drove",reorder,
,"Thomas Middlecott Academy, Kirton","Thomas Middlecott Academy, Kirton",warn,unreviewed-copy comma-space town-scrolls,Thomas Middlecott Academy,Kirton,1504.63232421875,0,"Kirton,Thomas Middlecott Academy",reorder,
270000008766,"Tytton Lane East, Wyberton Low Road","Tytton Lane East, Wyberton Low Road",warn,unreviewed-copy comma-space town-scrolls stop-scrolls,Tytton Lane East,Wyberton Low Road,288.47265625,634.51220703125,"Wyberton Low Road,Tytton Lane East",reorder,
270000008810,"Tytton Lane West, London Road, Wyberton","Tytton Lane West, London Road, Wyberton",warn,unreviewed-copy multiple-commas comma-space town-scrolls stop-scrolls,Tytton Lane West,"London Road, Wyberton",342.239990234375,1038.275634765625,"Wyberton,Tytton Lane West, London Road",reorder,
2700LBRLP173,"Vine House Farm, Red Lion Street, Bicker","Vine House Farm, Red Lion Street, Bicker",warn,unreviewed-copy multiple-commas comma-space town-scrolls stop-scrolls,Vine House Farm,"Red Lion Street, Bicker",323.472412109375,916.03076171875,"Bicker,Vine House Farm, Red Lion Street",reorder,
2700LEKR1970,"War Memorial, East Kirkby","War Memorial, East Kirkby",warn,unreviewed-copy comma-space,War Memorial,East Kirkby,0,0,"East Kirkby,War Memorial",reorder,
270000009267,"War Memorial, Fishtoft","War Memorial, Fishtoft",warn,unreviewed-copy comma-space,War Memorial,Fishtoft,0,0,"Fishtoft,War Memorial",reorder,
2700LKP00151,"War Memorial, High Street, Kirton","War Memorial, High Street, Kirton",warn,unreviewed-copy multiple-commas comma-space stop-scrolls,War Memorial,"High Street, Kirton",0,465.2969970703125,"Kirton,War Memorial, High Street",reorder,
,"Westfield Road, Peterborough","Westfield Road, Peterborough",warn,unreviewed-copy comma-space town-scrolls,Westfield Road,Peterborough,126.8660888671875,0,"Peterborough,Westfield Road",reorder,
2700LWC02216,"Weston, adj The Chequers PH","Weston,The Chequers",warn,stop-scrolls,Weston,The Chequers,0,15.374755859375,,,
270000009468,"Weston, opp The Chequers PH","Weston,The Chequers",warn,stop-scrolls,Weston,The Chequers,0,15.374755859375,,,
2700LWSI0324,"Whaplode, adj Darjeeling Restaurant","Whaplode,Darjeeling Restaurant",warn,stop-scrolls,Whaplode,Darjeeling Restaurant,0,777.55419921875,,,
270000009459,"Whaplode, opp Darjeeling Restaurant","Whaplode,Darjeeling Restaurant",warn,stop-scrolls,Whaplode,Darjeeling Restaurant,0,777.55419921875,,,
270000009460,"Whaplode, adj St Mary's Gardens","Whaplode,St Mary's Gardens",warn,stop-scrolls,Whaplode,St Mary's Gardens,0,446.123291015625,,,
270000009461,"Whaplode, opp St Mary's Gardens","Whaplode,St Mary's Gardens",warn,stop-scrolls,Whaplode,St Mary's Gardens,0,446.123291015625,,,
270000009458,"Whaplode, adj Stockwell Gate","Whaplode,Stockwell Gate",warn,stop-scrolls,Whaplode,Stockwell Gate,0,107.996826171875,,,
270000009457,"Whaplode, opp Stockwell Gate","Whaplode,Stockwell Gate",warn,stop-scrolls,Whaplode,Stockwell Gate,0,107.996826171875,,,
2700LSWLS708,"William Lovell School, Stickney","William Lovell School, Stickney",warn,unreviewed-copy comma-space town-scrolls,William Lovell School,Stickney,763.8583984375,0,"Stickney,William Lovell School",reorder,
270000009234,"Willow Farm, Sandy Bank","Willow Farm, Sandy Bank",warn,unreviewed-copy comma-space,Willow Farm,Sandy Bank,0,0,"Sandy Bank,Willow Farm",reorder,
270000008824,"Wyberton, opp Pincushion Inn","Wyberton,Pincushion Inn",warn,stop-scrolls,Wyberton,Pincushion Inn,0,118.9532470703125,,,
,"Wyberton, adj Tytton Lane West","Wyberton,Tytton Lane West",warn,stop-scrolls,Wyberton,Tytton Lane West,0,342.239990234375,,,
270000008885,Bicker Bar Hotel (opp),"Bicker Bar,Hotel",ok,,Bicker Bar,Hotel,0,0,,,
270002701751,Boston Bus Station (Bay 8),"Boston,Bus Station",ok,,Boston,Bus Station,0,0,,,
270002701752,Bus Station (Bay 9),"Boston,Bus Station",ok,,Boston,Bus Station,0,0,,,
270002701311,Boston College (adj),"Boston,College",ok,,Boston,College,0,0,,,
270000008280,Fen Road (adj),"Boston,Fen Road",ok,,Boston,Fen Road,0,0,,,
2700LBFBP119,Five Bells Inn (opp),"Boston,Five Bells Inn",ok,,Boston,Five Bells Inn,0,0,,,
2700LBMP2457,Boots (o/s),"Boston,Market Place",ok,,Boston,Market Place,0,0,,,
270000008768,"Boston, adj Oldrids","Boston,Oldrids",ok,,Boston,Oldrids,0,0,,,
270000008767,"Boston, opp Oldrids","Boston,Oldrids",ok,,Boston,Oldrids,0,0,,,
